paper_id,title,status,pred_score,gt_avg_score,abs_error,cost_usd,openrouter_calls,input_tokens,output_tokens,total_tokens,job_id,review_path,error,pred_decision,gt_binary,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
40sQXprYlm,Towards Distributed Neural Architectures,completed,5.5,5.0,0.5,0.03050308,26,2677035,22376,2699411,35bc7f4b-9d61-44b5-a3e0-b126bbc54f79,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/40sQXprYlm.md,,,Reject,4.0,4.0,8.0,4.0,,,
4Mvdn1m861,TokenCount: A Training-Free Framework for Object Counting by Interpreting Output Tokens,completed,5.0,3.5,1.5,0.03116726,29,2918634,21674,2940308,969e5100-d2ba-4ad5-8295-2174b580c5e6,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/4Mvdn1m861.md,,,Reject,2.0,4.0,4.0,4.0,,,
2eAGrunxVz,"Spherical Watermark: Encryption-Free, Lossless Watermarking for Diffusion Models",completed,6.0,7.5,1.5,0.03831421,33,3886831,29988,3916819,11c5c1f6-45e7-4f2d-ba01-2646f9ba2bad,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/2eAGrunxVz.md,,,Accept,8.0,8.0,8.0,6.0,,,
4Ha2srdhPN,GRAID: Enhancing Spatial Reasoning of VLMs through High-Fidelity Data Generation,completed,6.0,4.5,1.5,0.03348584,29,3208841,24215,3233056,6fb7faa2-ff9f-48b3-a7a9-d7e848153bbc,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/4Ha2srdhPN.md,,,Reject,2.0,8.0,2.0,6.0,,,
41JeFWdVFa,LDP: A Lightweight Denoising Plugin Enhancing Generalization in Single-Image Super-Resolution,completed,5.0,4.67,0.33,0.03681931,31,3555056,24454,3579510,11064c58-ea52-4566-9532-5070a5c5df06,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/41JeFWdVFa.md,,,Reject,6.0,6.0,2.0,,,,
2cq8FyBfDk,ProteinVista: A compute-efficient atom-level 3D CNN that outperforms sequence transformers in protein–ligand prediction,completed,6.0,3.2,2.8,0.03831442,37,3954654,32643,3987297,19423383-0ecb-4a56-829a-a485bcf7bdda,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/2cq8FyBfDk.md,,,Reject,2.0,0.0,4.0,4.0,6.0,,
4Nsx2kZkex,Differentiable Verification for Safe Reinforcement Learning in Verifiable Code Synthesis,completed,3.0,1.0,2.0,0.02943646,28,2721567,20636,2742203,91836f88-b6fc-405d-bb13-451585b01cb4,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/4Nsx2kZkex.md,,,Reject,0.0,2.0,0.0,2.0,,,
4S5x8yhJ5H,VIBEFACE - Video and Image Biometric Dataset for Evaluation of Faces,completed,6.0,0.0,6.0,0.02635881,23,2032165,20675,2052840,eeffb82b-099d-41b4-a0bf-984efd910e6f,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/4S5x8yhJ5H.md,,,Reject,0.0,0.0,0.0,,,,
4fm4Rc5fUK,Autoformalizer with Tool Feedback,completed,7.0,4.67,2.33,0.03057794,27,2820698,19992,2840690,d4d7e0be-9f91-4e1e-b2f5-c5ced17e3638,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/4fm4Rc5fUK.md,,,Reject,2.0,6.0,6.0,,,,
4hkMvkzai5,DeCodec: Rethinking Audio Codecs as Universal Disentangled Representation Learners,completed,5.0,2.8,2.2,0.03336688,24,2802856,23758,2826614,e69ab608-792a-48de-8fe6-b88858df20a0,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/4hkMvkzai5.md,,,Reject,4.0,2.0,2.0,4.0,2.0,,
4VW9HVCRw0,TOUCH: Text-guided Controllable Generation of Free-Form Hand-Object Interactions,completed,7.0,7.0,0.0,0.03372676,28,3102124,24432,3126556,f647a7a0-7c3c-44f0-88c3-22a92e41f8d1,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/4VW9HVCRw0.md,,,Accept,8.0,8.0,6.0,6.0,,,
4iu9Lj0Ist,Machine Unlearning Meets Continuous Learning: A Theoretical Analysis,completed,5.5,3.5,2.0,0.03454083,27,3183582,22988,3206570,a4765b63-2cdc-41c3-aea6-cced31182166,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/4iu9Lj0Ist.md,,,Reject,6.0,4.0,2.0,2.0,,,
5H8kxW0Efk,Neural Network Ising Machines: Algorithm Unrolling for Combinatorial Optimization,completed,6.0,4.0,2.0,0.028671,23,2337967,19347,2357314,c476cb42-f392-4c02-9c45-9dd72ed1e0fb,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/5H8kxW0Efk.md,,,Reject,6.0,4.0,2.0,,,,
55GsILa8c9,CausalNovo: Advancing De Novo Peptide Sequencing via a Causality-Informed Framework,completed,6.5,6.0,0.5,0.03295723,25,2921296,21530,2942826,f8e5f43a-80af-4e4e-8984-31e7d5976e62,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/55GsILa8c9.md,,,Reject,6.0,4.0,6.0,8.0,,,
4nOZBufbLC,Count Bridges enable Modeling and Deconvolving Transcriptomic Data,completed,6.0,5.6,0.4,0.03488234,28,3332916,22045,3354961,1216f849-d9aa-49a9-8abe-ef65f360b6c8,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/4nOZBufbLC.md,,,Accept,4.0,6.0,6.0,4.0,8.0,,
5o0zF03RP9,IncentRL: Bayesian Adaptation of Preference Gaps in Reinforcement Learning,completed,5.0,0.5,4.5,0.02737748,25,2393331,18468,2411799,c7114eb7-4f47-44c3-9d23-22935b7f5209,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/5o0zF03RP9.md,,,Reject,2.0,0.0,0.0,0.0,,,
5DpzzTPnJZ,The Rank and Gradient Lost in Non-stationarity: Sample Weight Decay for Mitigating Plasticity Loss in Reinforcement Learning,completed,6.0,5.0,1.0,0.03228586,28,2976729,23842,3000571,90ddaa2a-0301-49d3-9a19-c1907244eff4,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/5DpzzTPnJZ.md,,,Accept,6.0,4.0,4.0,6.0,,,
5Y4wvlp923,Semantic Disentanglement Error: A Pluggable Mechanism for Balanced Contrastive Time-Series Representation,completed,4.0,0.5,3.5,0.02822724,26,2363121,23813,2386934,614e8055-99a9-4ebc-9578-b62e2386452e,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/5Y4wvlp923.md,,,Reject,0.0,2.0,0.0,0.0,,,
5SQo2E9Ujj,Curriculum as Selective Data Acquisition: Toward Reliable Generalization in Goal-Conditioned RL,completed,4.0,0.0,4.0,0.03058354,34,2974983,26538,3001521,1d19eab9-2f81-41f2-a5ac-08d08e3f39b7,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/5SQo2E9Ujj.md,,,Reject,0.0,0.0,0.0,0.0,0.0,,
5T1vMQldr8,Subgoal-Guided Reward Shaping: Improving Preference-Based Offline Reinforcement Learning via Conditional VAEs,completed,6.0,4.0,2.0,0.03471101,34,3543920,24813,3568733,1198537b-4498-4582-a2c9-674b6440bae6,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/5T1vMQldr8.md,,,Reject,4.0,4.0,4.0,,,,
65Ai8mLfjI,Rethinking Global Text Conditioning in Diffusion Transformers,completed,6.5,5.5,1.0,0.03039827,22,2382287,20792,2403079,6c083927-a077-4da5-bf63-89e59c990c1d,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/65Ai8mLfjI.md,,,Accept,4.0,8.0,6.0,4.0,,,
6P5sAycAQr,DefNTaxS: The Inevitable Need for Context in Classification,completed,5.0,3.0,2.0,0.02880688,25,2458118,21536,2479654,38cfd8f3-8726-4187-8b52-1272ca92d332,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/6P5sAycAQr.md,,,Reject,6.0,2.0,2.0,2.0,,,
6Y9NP1qhoM,Goal-Aware Identification and Rectification of Misinformation in Multi-Agent Systems,completed,5.5,5.0,0.5,0.03386434,28,3231846,21967,3253813,fb928e08-ae6a-4640-9518-6c11c7d88404,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/6Y9NP1qhoM.md,,,Accept,4.0,6.0,8.0,2.0,,,
6RQsAQEUib,GHPO: Adaptive Guidance for Stable and Efficient LLM Reinforcement Learning,completed,5.0,4.0,1.0,0.03382237,37,3565469,24036,3589505,7a00fba3-1309-4dba-9a2a-22388992e8eb,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/6RQsAQEUib.md,,,Reject,6.0,2.0,2.0,6.0,,,
5asbtzIVpS,Forest-Based Graph Learning for Semi-Supervised Node Classification,completed,6.0,5.5,0.5,0.03659159,31,3572015,26639,3598654,70e90272-63d7-4f80-9930-1131b1668607,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/5asbtzIVpS.md,,,Accept,4.0,6.0,4.0,8.0,,,
5qd7V5TNGV,CP4D: Compositional physics-aware 4D scene generation,completed,6.0,5.0,1.0,0.03623369,31,3638367,24611,3662978,289eb719-69b1-4949-8734-05b7872414fd,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/5qd7V5TNGV.md,,,Reject,4.0,6.0,2.0,8.0,,,
6i1jVAYbHs,AtlasKV: Augmenting LLMs with Billion-Scale Knowledge Graphs in 20GB VRAM,completed,7.0,6.0,1.0,0.0360628,32,3740228,24187,3764415,1df4a81c-be94-4ed6-996c-f61a05114682,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/6i1jVAYbHs.md,,,Accept,4.0,4.0,8.0,8.0,,,
6rz7VyAatm,BadDet+: Robust Backdoor Attacks for Object Detection,completed,5.5,3.5,2.0,0.03649542,33,3729996,26834,3756830,2b32b464-f567-493e-ab20-2026f55694d3,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/6rz7VyAatm.md,,,Reject,0.0,6.0,2.0,6.0,,,
7gLNA6nT5d,N-Gram Induction Heads for In-Context RL: Improving Stability and Reducing Data Needs,completed,5.0,3.2,1.8,0.03107345,26,2711906,23222,2735128,36c9d58a-6837-41b5-a5af-e6524d7a5505,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/7gLNA6nT5d.md,,,Reject,2.0,4.0,6.0,2.0,2.0,,
7yvz93kBw9,D$^2$GS: Depth-and-Density Guided Gaussian Splatting for Stable and Accurate Sparse-View Reconstruction,completed,6.0,6.0,0.0,0.03223606,27,2912768,23532,2936300,96e0fa29-6886-440c-88bc-b5e7af4b98c0,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/7yvz93kBw9.md,,,Accept,6.0,6.0,6.0,,,,
8KcjEygedc,Why Less is More (Sometimes): A Theory of Data Curation,completed,5.5,7.5,2.0,0.03003175,28,2776369,20010,2796379,042afac4-25a1-4022-bd4f-6a4fdc177f42,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/8KcjEygedc.md,,,Accept,8.0,8.0,6.0,8.0,,,
70n4clRSTj,Time Blindness: Why Video-Language Models Can’t See What Humans Can?,completed,6.0,3.5,2.5,0.0335711,29,3216483,23270,3239753,17fadaad-1fab-4d05-b8b5-baa7a0f61899,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/70n4clRSTj.md,,,Reject,2.0,2.0,8.0,2.0,,,
9X2NfyZpR2,Long-Term Action Anticipation via Transcript-based Supervision,completed,6.0,3.0,3.0,0.03075398,18,1997201,20487,2017688,15baf044-75ff-4140-911f-c79b89bbcead,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/9X2NfyZpR2.md,,,Reject,2.0,4.0,2.0,4.0,,,
8J3GTeQmwl,Graphon Cross-Validation: Assessing Models on Network Data,completed,7.0,5.5,1.5,0.03337977,31,3345175,22905,3368080,8b91720e-9c8b-4b12-ae58-e294cbbd3b2f,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/8J3GTeQmwl.md,,,Accept,4.0,8.0,4.0,6.0,,,
AdfEHMueyc,Evolving Embodied Intelligence: Graph Neural Network–Driven Co-Design of Morphology and Control in Soft Robotics,completed,5.5,1.5,4.0,0.02686281,24,2295153,17989,2313142,2af7179e-8633-4541-9776-85f3989f9bf1,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/AdfEHMueyc.md,,,Reject,0.0,2.0,4.0,0.0,,,
6vX0LH9Yt7,Hybrid Neural-MPM for Interactive Fluid Simulations in Real-Time,completed,5.0,3.0,2.0,0.03791972,41,1905887,10409,1916296,f71e98ed-c86a-44fc-a924-f052c5f0549e,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/6vX0LH9Yt7.md,,,Reject,4.0,4.0,2.0,2.0,,,
8ZQ0HjBOEc,Understanding the role of depth in the neural tangent kernel for overparameterized neural networks.,completed,5.0,4.0,1.0,0.03278355,26,2847363,24321,2871684,32e03301-02c3-4ffc-92d8-66bdd8aa8ceb,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/8ZQ0HjBOEc.md,,,Reject,2.0,4.0,4.0,6.0,,,
9wIVIjWn0F,Regression-based Test-Time Adaptation of Vision-Language Models,completed,6.0,5.5,0.5,0.03674117,32,3729188,20652,3749840,262157bc-30c5-4975-aacf-8fbede4cd101,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/9wIVIjWn0F.md,,,Reject,8.0,2.0,6.0,6.0,,,
